Date,Start_Hour,End_Hour,Source,Season,Production,Day_of_Year,Day_Name,Month_Name
string,continuous,continuous,Mixed Solar Wind,Fall Spring Summer Winter,continuous,continuous,Friday Monday Saturday Sunday Thursday Tuesday Wednesday,April August December February January July June March May November October September
meta,,,,,,,,
12/18/2022,21,22,Wind,Winter,11400,352,Sunday,December
1/29/2024,14,15,Wind,Winter,7917,29,Monday,January
8/1/2024,15,16,Solar,Summer,8835,214,Thursday,August
11/10/2020,1,2,Wind,Fall,989,315,Tuesday,November
12/19/2022,1,2,Wind,Winter,12526,353,Monday,December
10/18/2024,13,14,Solar,Fall,4855,292,Friday,October
4/10/2020,17,18,Solar,Spring,3692,101,Friday,April
1/25/2023,0,1,Wind,Winter,2156,25,Wednesday,January
12/12/2021,12,13,Wind,Winter,5813,346,Sunday,December
10/11/2020,13,14,Wind,Fall,6106,285,Sunday,October
1/8/2024,23,0,Wind,Winter,5515,8,Monday,January
1/8/2020,18,19,Wind,Winter,2785,8,Wednesday,January
1/29/2022,20,21,Wind,Winter,8498,29,Saturday,January
6/2/2021,15,16,Solar,Summer,5561,153,Wednesday,June
6/11/2024,7,8,Wind,Summer,2328,163,Tuesday,June
6/5/2020,21,22,Wind,Summer,6664,157,Friday,June
5/2/2021,13,14,Solar,Spring,4993,122,Sunday,May
1/13/2022,0,1,Wind,Winter,3276,13,Thursday,January
7/24/2020,3,4,Wind,Summer,1739,206,Friday,July
8/29/2024,5,6,Wind,Summer,2083,242,Thursday,August
1/3/2024,0,1,Wind,Winter,17272,3,Wednesday,January
4/2/2024,2,3,Wind,Spring,12285,93,Tuesday,April
7/29/2020,16,17,Solar,Summer,3480,211,Wednesday,July
11/5/2024,6,7,Wind,Fall,1690,310,Tuesday,November
10/24/2022,8,9,Wind,Fall,11508,297,Monday,October
2/27/2023,10,11,Wind,Winter,15692,58,Monday,February
4/2/2020,15,16,Solar,Spring,4169,93,Thursday,April
5/13/2020,3,4,Wind,Spring,3174,134,Wednesday,May
11/22/2023,14,15,Wind,Fall,7314,326,Wednesday,November
9/11/2021,11,12,Solar,Fall,4969,254,Saturday,September
4/7/2025,15,16,Solar,Spring,9862,97,Monday,April
7/27/2025,22,23,Wind,Summer,3862,208,Sunday,July
3/11/2021,13,14,Wind,Spring,16144,70,Thursday,March
4/30/2022,16,17,Solar,Spring,8188,120,Saturday,April
1/19/2023,23,0,Wind,Winter,1710,19,Thursday,January
9/11/2022,4,5,Wind,Fall,472,254,Sunday,September
9/25/2021,16,17,Solar,Fall,3402,268,Saturday,September
8/8/2020,12,13,Solar,Summer,3996,221,Saturday,August
6/8/2021,1,2,Wind,Summer,1148,159,Tuesday,June
6/10/2024,21,22,Wind,Summer,4062,162,Monday,June
6/18/2020,0,1,Wind,Summer,1443,170,Thursday,June
5/30/2023,17,18,Wind,Spring,13363,150,Tuesday,May
2/17/2022,1,2,Wind,Winter,15609,48,Thursday,February
5/11/2022,19,20,Wind,Spring,8878,131,Wednesday,May
5/7/2024,7,8,Wind,Spring,2974,128,Tuesday,May
11/22/2025,12,13,Wind,Fall,12324,326,Saturday,November
4/9/2021,21,22,Wind,Spring,5279,99,Friday,April
12/24/2021,11,12,Wind,Winter,3872,358,Friday,December
3/11/2023,12,13,Wind,Spring,6406,70,Saturday,March
8/13/2021,13,14,Solar,Summer,5323,225,Friday,August
2/1/2021,15,16,Wind,Winter,7166,32,Monday,February
9/11/2023,13,14,Solar,Fall,7117,254,Monday,September
7/1/2020,13,14,Wind,Summer,5874,183,Wednesday,July
