Appliances,lights,T1,T2,T3,RH_1,RH_2,RH_3
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,
50,0,20.2,17.7,21,38.29,41.09,37.2
40,0,21,18.39,22,40.45,44.09,38.29
100,0,21.4633,20,20.12,33.6633,33.9333,35.572
50,0,20.7,18.79,20.73,35,35.7,36.4
50,0,21.5,19.1,23.1333,40.29,42.79,39.09
110,0,24.1,23.29,23.6,33.9,32.23,34.9
100,20,22.8567,21,21.6,31.8267,32,33.6267
20,0,17.29,16.3567,17.7,43.2,43.29,41.2
90,10,22.7,20.79,22.79,41.5,42.9333,39.59
30,0,20.1,19.1,20.3567,43.7,43.8633,44.5
60,0,22.5,25.3567,23.2,38.56,31.8233,37.59
50,0,21.76,19.895,21.15,34.3083,34.745,34.83
50,0,22.89,20.89,24.7,41.5,43.3686,40.03
250,0,24.5333,28.2386,24.89,33.9967,27.9229,36.5
60,0,21.29,20.26,20.7,36.9667,35.8333,37.29
20,0,18.0667,17.1,19.1667,43.4,44.2,42.06
100,30,21.79,20.5667,21.6,43.4333,44.2,42.4
50,0,20.39,18.5571,20.6,37.9,39.0257,38
100,30,22.39,22,22,45.7667,43.8633,45.9
40,0,19.79,19.0333,20.39,45.2,44.59,44.06
50,0,20.5,17.1333,20.89,40,46.2,38.2
50,10,20.79,17.89,20.1,36.7,40.06,36.59
100,0,24.89,27.85,24.89,32.9967,26.66,36.4
30,0,19.6667,18.89,20.3567,45.06,44.6267,43.8633
60,0,25,23.68,26.29,48,48.178,43.79
90,30,20.39,18.1,20.7,39,41.0267,36.36
70,20,22.89,21.89,24.39,44.59,44.7,40.03
50,0,22.79,20.29,24.79,39.56,42.09,37.5
60,0,22.89,21.4267,23.4633,42.2,42.1633,39.4
50,0,21.1,18.79,21.1,36.6933,37.89,35.09
150,0,22.89,21.39,24.26,43.99,43.59,38.8633
50,0,19.89,19.39,20,35.56,34.4333,35.5
300,0,20.79,20.1,21.6967,44.09,42.73,44.7633
710,0,21.1333,20.9267,21.5,38.4667,36.06,36.4633
100,10,22.5,21.6,23,41.4333,42.1,39.09
790,0,23,25.53,24.39,50.26,43.1333,44.49
40,0,19.89,19.2,20.4267,45.4,45.03,44.23
110,0,22.89,20.79,22.5,34.79,35.2,35.03
230,30,21,19.79,23.5667,39.16,37.4,40.5267
60,0,24.89,22.6333,25.79,44.6267,45.6633,42.29
40,0,20.89,19.5,21.79,43.59,44.56,42.2
40,0,20,19.39,19.9633,43.76,43.2,44.59
100,0,20.9267,19.6333,21.2,34.7,34.7667,34.0267
70,20,22.39,21.23,22.8233,38.73,38.79,37.9333
150,20,20.7,19.4633,21.39,44.79,45.59,42
90,0,21.89,21.2,24.4933,35.6333,34.2567,35.3933
50,0,23.39,22.06,24.6,44.9,44.754,41.4333
80,0,22.29,21.8567,22.7,44,43.09,41.4333
80,0,20.89,19.6333,21.5,45.09,45.53,42.5
80,0,19.6,17.8233,20.1,36.6633,37.6567,35.8267
50,0,20.89,19.1667,20,35.79,36.4,37.518
50,0,21.5,24.6333,22.5,36.59,31.5667,34.79
70,10,21.79,19.5,22.7,39.4667,42.2,37.56
150,10,21.2,20.89,21,43.8267,41.6633,42.4
50,0,22,19.5,22.29,38.8633,41.29,38.8633
50,0,19.5,17.79,20.8614,37.2,38.7,37.0643
110,0,20.5667,19.495,20.7,41.4333,42.3,39.0257
90,10,21.7,21.29,22.39,36,33.8333,34.8633
90,10,22.1,21.5667,22.5333,42.3633,39.36,43.7667
40,0,20.3233,17.5,20.1,36.79,39.73,37.1267
120,20,21.5,19.2,21.1,41.59,45.4667,39.5
50,0,19.23,18.5,19.79,46.8267,46.7,45.29
50,0,18.79,18.1,19.6,46.59,46.59,45
40,0,19.39,18.6,19.89,46.4,46.29,45.29
40,10,20.23,18,21.1,39.3267,41.23,40.79
40,0,21.5,20.89,22.6,46,43.9333,45.09
60,0,22.89,22.23,21.7,43.2,42.59,44.9
40,10,21.5,19.89,21.29,44.5267,44.93,41.2
30,0,21.1,20.29,21.79,43.9,43.59,44
100,0,21.1,18.6,20.3233,38.76,41.1267,37.9333
50,0,20,17.5,21,38.2,41,37.29
30,0,22.39,19.6333,22.79,35.3267,37.06,35.6267
50,10,19.89,18.1,20.2,41.2,42,40.7
50,0,21,18.5,21.79,39.1633,43.1633,37.4
420,10,16.79,16.1,17.2,45.2667,45.3267,42.53
160,0,21,19.39,21.1667,35.03,35.2,34.09
50,0,21.29,18.7,23.29,38.3633,41.1333,36.1633
50,0,20.79,19.5,21.8614,43.59,44.7,42.2257
370,0,20.79,18,21.6,36.73,39.79,35.29
60,0,25.39,24.315,26.3567,49.1633,48.7225,45
30,10,21.7,20.79,21.7,46.9333,46.7,46.5
70,0,21.8233,20.1,22.6,36.4,37.925,34.2
60,0,23.4633,26.9267,24.272,40.3633,32.6667,37.536
50,0,22.2,19.625,24.7,43.79,47.5,41
50,0,23.2,25.1333,24.29,41.7,36.06,38.79
60,10,23.3233,21.772,24.29,38.29,37.718,36.09
